YEAR,DATA_VALUE,CATEGORY,INDICATOR_NAME,SIGN,INDICATOR_TYPE
2013,99,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
1996,74,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
1998,77,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2004,89,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2017,98,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2015,86,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2005,95,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2022,46,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
1997,82,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2020,65,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2000,60,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
1996,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
1997,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
1998,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
1999,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2000,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2001,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2002,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2003,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2004,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2005,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2006,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2007,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2008,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2009,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2010,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2011,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2012,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2013,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2014,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2015,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2016,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2017,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2018,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2019,1,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2020,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2021,1,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2022,1,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2023,0,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
2024,1,Commercial,AVGPRICE_HERRING_2024_DOLlb,N/A,Socioeconomic
1996,20059908,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
1997,21035838,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
1998,19869688,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
1999,19449306,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2000,17568672,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2001,21866578,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2002,16251848,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2003,25267444,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2004,22972392,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2005,31048514,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2006,32749120,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2007,25392008,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2008,28966656,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2009,32548892,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2010,25660704,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2011,31856212,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2012,35624464,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2013,39490916,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2014,37384256,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2015,31540226,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2016,36820336,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2017,33850444,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2018,28345120,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2019,11690802,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2020,8132364,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2021,4334243,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2022,3844874,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2023,7747716,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2024,8276793,Commercial,TOTALANNUALREV_HERRING_2024Dols,N/A,Socioeconomic
2007,3,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2008,4,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2009,2,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2010,3,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2011,4,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2012,4,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2013,4,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2014,4,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2015,2,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2016,2,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2017,2,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2018,3,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2019,2,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2020,1,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2021,2,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2022,4,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2023,3,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2024,2,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
1996,271080,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
1997,256535,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
1998,258048,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
1999,299220,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2000,292811,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2001,496968,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2002,285120,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2003,451204,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2004,258117,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2005,326826,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2006,284775,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2007,241829,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2008,301736,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2009,322266,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2010,242082,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2011,353958,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2012,419111,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2013,398898,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2014,439815,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2015,366747,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2016,449029,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2017,345413,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2018,314946,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2019,174490,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2020,127068,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2021,72237,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2022,85442,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2023,158117,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
2024,188109,Commercial,AVGVESREVperYr_HERRING_2024_DOLlb,N/A,Socioeconomic
